#Risvollan, 123.38.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2019-02-18 11:00:00Z;0,003987228;0;2
2019-02-19 11:00:00Z;0,005034762;0;2
2019-02-20 11:00:00Z;0,004093795;0;2
2019-02-21 11:00:00Z;0,002326132;0;2
2019-02-22 11:00:00Z;0,003957911;0;2
2019-02-23 11:00:00Z;0,003281043;0;2
2019-02-24 11:00:00Z;0,009888643;0;2
2019-02-25 11:00:00Z;0,01095644;0;2
2019-02-26 11:00:00Z;0,006842626;0;2
2019-02-27 11:00:00Z;0,00722103;0;2
2019-02-28 11:00:00Z;0,01625428;0;2
2019-03-01 11:00:00Z;0,007118626;0;2
2019-03-02 11:00:00Z;0,008318122;0;2
2019-03-03 11:00:00Z;0,005355656;0;2
2019-03-04 11:00:00Z;0,003287824;0;2
2019-03-05 11:00:00Z;0,00202464;0;2
2019-03-06 11:00:00Z;0,001458584;0;2
2019-03-07 11:00:00Z;0,001137116;0;2
2019-03-08 11:00:00Z;0,0009816616;0;2
2019-03-09 11:00:00Z;0,0008265261;0;2
2019-03-10 11:00:00Z;0,0006532187;0;2
2019-03-11 11:00:00Z;0,0005920617;0;2
2019-03-12 11:00:00Z;0,000644598;0;2
2019-03-13 11:00:00Z;0,00059283;0;2
2019-03-14 11:00:00Z;0,0006362365;0;2
2019-03-15 11:00:00Z;0,0006733219;0;2
2019-03-16 11:00:00Z;0,0005616248;0;2
2019-03-17 11:00:00Z;0,0004592446;0;2
2019-03-18 11:00:00Z;0,0005319685;0;2
2019-03-19 11:00:00Z;0,001032417;0;2
2019-03-20 11:00:00Z;0,01355535;0;2
2019-03-21 11:00:00Z;0,01133434;0;2
2019-03-22 11:00:00Z;0,007245197;0;2
2019-03-23 11:00:00Z;0,01735175;0;2
2019-03-24 11:00:00Z;0,01108445;0;2
2019-03-25 11:00:00Z;0,008537221;0;2
2019-03-26 11:00:00Z;0,00624741;0;2
2019-03-27 11:00:00Z;0,02670029;0;2
2019-03-28 11:00:00Z;0,02274685;0;2
2019-03-29 11:00:00Z;0,02510733;0;2
2019-03-30 11:00:00Z;0,01517043;0;2
2019-03-31 11:00:00Z;0,007687875;0;2
2019-04-01 11:00:00Z;0,007062531;0;2
2019-04-02 11:00:00Z;0,005108146;0;2
2019-04-03 11:00:00Z;0,003640565;0;2
2019-04-04 11:00:00Z;0,003053956;0;2
2019-04-05 11:00:00Z;0,002794433;0;2
2019-04-06 11:00:00Z;0,002257975;0;2
2019-04-07 11:00:00Z;0,001835501;0;2
2019-04-08 11:00:00Z;0,001545862;0;2
2019-04-09 11:00:00Z;0,001332039;0;2
2019-04-10 11:00:00Z;0,001155071;0;2
2019-04-11 11:00:00Z;0,001047181;0;2
2019-04-12 11:00:00Z;0,0009027255;0;2
2019-04-13 11:00:00Z;0,0008314878;0;2
2019-04-14 11:00:00Z;0,0007476027;0;2
2019-04-15 11:00:00Z;0,0007048243;0;2
2019-04-16 11:00:00Z;0,0006619734;0;2
2019-04-17 11:00:00Z;0,0006175246;0;2
2019-04-18 11:00:00Z;0,0005836416;0;2
2019-04-19 11:00:00Z;0,0005575558;0;2
2019-04-20 11:00:00Z;0,0005372313;0;2
2019-04-21 11:00:00Z;0,0007419257;0;2
2019-04-22 11:00:00Z;0,0005055636;0;2
2019-04-23 11:00:00Z;0,000459081;0;2
2019-04-24 11:00:00Z;0,0004353112;0;2
2019-04-25 11:00:00Z;0,0004194204;0;2
2019-04-26 11:00:00Z;0,0004266808;0;2
2019-04-27 11:00:00Z;0,0003674606;0;2
2019-04-28 11:00:00Z;0,0003544689;0;2
2019-04-29 11:00:00Z;0,001001867;0;2
2019-04-30 11:00:00Z;0,001395141;0;2
2019-05-01 11:00:00Z;0,003839341;0;2
2019-05-02 11:00:00Z;0,00096908;0;2
2019-05-03 11:00:00Z;0,001248266;0;2
2019-05-04 11:00:00Z;0,002307434;0;2
2019-05-05 11:00:00Z;0,006070704;0;2
2019-05-06 11:00:00Z;0,001823744;0;2
2019-05-07 11:00:00Z;0,001244414;0;2
2019-05-08 11:00:00Z;0,0009092006;0;2
2019-05-09 11:00:00Z;0,0007618622;0;2
2019-05-10 11:00:00Z;0,001409598;0;2
2019-05-11 11:00:00Z;0,004475202;0;2
2019-05-12 11:00:00Z;0,001174504;0;2
2019-05-13 11:00:00Z;0,001264411;0;2
2019-05-14 11:00:00Z;0,001196904;0;2
2019-05-15 11:00:00Z;0,0009210102;0;2
2019-05-16 11:00:00Z;0,0007582089;0;2
2019-05-17 11:00:00Z;0,0006647946;0;2
2019-05-18 11:00:00Z;0,0006085744;0;2
2019-05-19 11:00:00Z;0,0007108143;0;2
