#Risvollan, 123.38.0, Vannføring, inst
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2023-03-02 11:49:00Z;0,01221031;0;2
2023-03-02 11:50:00Z;0,01156631;0;2
2023-03-02 12:00:00Z;0,01135634;0;2
2023-03-02 12:18:00Z;0,01094334;0;2
2023-03-02 12:24:00Z;0,01156631;0;2
2023-03-02 12:30:00Z;0,01094334;0;2
2023-03-02 12:31:00Z;0,01156631;0;2
2023-03-02 12:32:00Z;0,01094334;0;2
2023-03-02 13:00:00Z;0,01114868;0;2
2023-03-02 13:10:00Z;0,01199329;0;2
2023-03-02 13:13:00Z;0,01135634;0;2
2023-03-02 13:25:00Z;0,01177863;0;2
2023-03-02 13:40:00Z;0,01221031;0;2
2023-03-02 13:45:00Z;0,01265144;0;2
2023-03-02 13:46:00Z;0,01310208;0;2
2023-03-02 13:47:00Z;0,01356232;0;2
2023-03-02 13:48:00Z;0,01403223;0;2
2023-03-02 13:49:00Z;0,01451186;0;2
2023-03-02 13:50:00Z;0,01524971;0;2
2023-03-02 13:51:00Z;0,01600985;0;2
2023-03-02 13:52:00Z;0,01679251;0;2
2023-03-02 13:53:00Z;0,0184263;0;2
2023-03-02 13:54:00Z;0,01927787;0;2
2023-03-02 13:55:00Z;0,02074933;0;2
2023-03-02 13:56:00Z;0,02197402;0;2
2023-03-02 13:57:00Z;0,02324152;0;2
2023-03-02 13:59:00Z;0,02422055;0;2
2023-03-02 14:00:00Z;0,02488689;0;2
2023-03-02 14:01:00Z;0,025907;0;2
2023-03-02 14:02:00Z;0,02660092;0;2
2023-03-02 14:08:00Z;0,0255642;0;2
2023-03-02 14:09:00Z;0,02488689;0;2
2023-03-02 14:10:00Z;0,02422055;0;2
2023-03-02 14:12:00Z;0,02292061;0;2
2023-03-02 14:13:00Z;0,02197402;0;2
2023-03-02 14:14:00Z;0,02105151;0;2
2023-03-02 14:16:00Z;0,02015287;0;2
2023-03-02 14:18:00Z;0,01899142;0;2
2023-03-02 14:20:00Z;0,0184263;0;2
2023-03-02 14:21:00Z;0,01787148;0;2
2023-03-02 14:23:00Z;0,01705844;0;2
2023-03-02 14:29:00Z;0,01759792;0;2
2023-03-02 14:38:00Z;0,01705844;0;2
2023-03-02 14:43:00Z;0,01626823;0;2
2023-03-02 14:47:00Z;0,01575398;0;2
2023-03-02 14:50:00Z;0,01524971;0;2
2023-03-02 14:57:00Z;0,01451186;0;2
2023-03-02 15:00:00Z;0,01451186;0;2
2023-03-02 15:05:00Z;0,01403223;0;2
2023-03-02 15:12:00Z;0,01356232;0;2
2023-03-02 15:22:00Z;0,01310208;0;2
2023-03-02 15:24:00Z;0,01356232;0;2
2023-03-02 15:26:00Z;0,01403223;0;2
2023-03-02 15:28:00Z;0,01475535;0;2
2023-03-02 15:29:00Z;0,01524971;0;2
2023-03-02 15:30:00Z;0,01626823;0;2
2023-03-02 15:31:00Z;0,01705844;0;2
2023-03-02 15:32:00Z;0,0184263;0;2
2023-03-02 15:33:00Z;0,01956693;0;2
2023-03-02 15:34:00Z;0,02044979;0;2
2023-03-02 15:37:00Z;0,02105151;0;2
2023-03-02 15:44:00Z;0,02044979;0;2
2023-03-02 15:46:00Z;0,01985859;0;2
2023-03-02 15:48:00Z;0,01927787;0;2
2023-03-02 15:52:00Z;0,01870756;0;2
2023-03-02 15:55:00Z;0,0181476;0;2
2023-03-02 15:56:00Z;0,01759792;0;2
2023-03-02 15:58:00Z;0,01705844;0;2
2023-03-02 16:00:00Z;0,01679251;0;2
2023-03-02 16:04:00Z;0,01626823;0;2
2023-03-02 16:09:00Z;0,01575398;0;2
2023-03-02 16:16:00Z;0,01524971;0;2
2023-03-02 16:21:00Z;0,01475535;0;2
2023-03-02 16:23:00Z;0,01427082;0;2
2023-03-02 16:28:00Z;0,01379606;0;2
2023-03-02 16:34:00Z;0,013331;0;2
2023-03-02 16:42:00Z;0,01287557;0;2
2023-03-02 16:49:00Z;0,01242969;0;2
2023-03-02 17:00:00Z;0,01221031;0;2
2023-03-02 17:05:00Z;0,01177863;0;2
2023-03-02 17:18:00Z;0,01135634;0;2
2023-03-02 17:41:00Z;0,01094334;0;2
2023-03-02 17:45:00Z;0,01156631;0;2
2023-03-02 17:47:00Z;0,01094334;0;2
2023-03-02 17:55:00Z;0,01135634;0;2
2023-03-02 18:00:00Z;0,01074031;0;2
2023-03-02 18:04:00Z;0,01114868;0;2
2023-03-02 18:05:00Z;0,01053958;0;2
2023-03-02 19:00:00Z;0,01034114;0;2
2023-03-02 19:02:00Z;0,009951094;0;2
2023-03-02 19:42:00Z;0,009570098;0;2
2023-03-02 20:00:00Z;0,00938297;0;2
2023-03-02 21:00:00Z;0,009015405;0;2
2023-03-02 21:59:00Z;0,008656703;0;2
2023-03-02 22:00:00Z;0,008656703;0;2
2023-03-02 23:00:00Z;0,008480651;0;2
2023-03-02 23:30:00Z;0,008834952;0;2
2023-03-02 23:36:00Z;0,00938297;0;2
2023-03-02 23:37:00Z;0,009759472;0;2
2023-03-02 23:39:00Z;0,01014498;0;2
2023-03-02 23:41:00Z;0,01074031;0;2
2023-03-02 23:42:00Z;0,01114868;0;2
2023-03-02 23:43:00Z;0,01156631;0;2
2023-03-02 23:44:00Z;0,01199329;0;2
2023-03-02 23:45:00Z;0,01242969;0;2
2023-03-02 23:47:00Z;0,01287557;0;2
2023-03-02 23:49:00Z;0,01356232;0;2
2023-03-02 23:56:00Z;0,01310208;0;2
2023-03-02 23:58:00Z;0,01265144;0;2
2023-03-03 00:00:00Z;0,01221031;0;2
2023-03-03 00:04:00Z;0,01177863;0;2
2023-03-03 00:14:00Z;0,01135634;0;2
2023-03-03 00:21:00Z;0,01094334;0;2
2023-03-03 00:25:00Z;0,01053958;0;2
2023-03-03 00:34:00Z;0,01014498;0;2
2023-03-03 00:48:00Z;0,01053958;0;2
2023-03-03 00:49:00Z;0,01114868;0;2
2023-03-03 00:51:00Z;0,01156631;0;2
2023-03-03 00:52:00Z;0,01199329;0;2
2023-03-03 00:53:00Z;0,01265144;0;2
2023-03-03 00:54:00Z;0,01310208;0;2
2023-03-03 00:55:00Z;0,01356232;0;2
2023-03-03 00:56:00Z;0,01427082;0;2
2023-03-03 00:57:00Z;0,01475535;0;2
2023-03-03 00:59:00Z;0,01550061;0;2
2023-03-03 01:00:00Z;0,01575398;0;2
2023-03-03 01:30:00Z;0,01524971;0;2
2023-03-03 01:35:00Z;0,01475535;0;2
2023-03-03 01:38:00Z;0,01427082;0;2
2023-03-03 01:41:00Z;0,01379606;0;2
2023-03-03 01:43:00Z;0,013331;0;2
2023-03-03 01:46:00Z;0,01287557;0;2
2023-03-03 01:49:00Z;0,01242969;0;2
2023-03-03 01:54:00Z;0,01199329;0;2
2023-03-03 02:00:00Z;0,01177863;0;2
2023-03-03 02:04:00Z;0,01135634;0;2
2023-03-03 02:08:00Z;0,01094334;0;2
2023-03-03 02:13:00Z;0,01053958;0;2
2023-03-03 02:34:00Z;0,01114868;0;2
2023-03-03 02:43:00Z;0,01156631;0;2
2023-03-03 02:47:00Z;0,01199329;0;2
2023-03-03 02:49:00Z;0,01242969;0;2
